Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	No blocks generated
Fast Node
Low CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
8c9c3c4ac5bc5a28711edc28dbf9d6b63464944f4701f02517f1026a3036d86d	0	20	{0: 37, 1: 30, 2: 33, 3: 22, 4: 29, 5: 30, 6: 36, 7: 23, 8: 36, 9: 37, 10: 33, 11: 28, 12: 40, 13: 32, 14: 38, 15: 36, 16: 21, 17: 24, 18: 35, 19: 35}
891d091742338e53aa98c2483bcf1355618c92ca6282fed9e33ba782358eb422	10.490817909172735	130	{0: 33, 1: 5, 2: 29, 3: 21, 4: 83, 5: 100, 6: 30, 7: 1, 8: 13, 9: 71, 10: 40, 11: 72, 12: 9, 13: 5, 14: 116, 15: 20, 16: 2, 17: 31, 18: 2, 19: 2}
3e62524f4323aec18379703490287cd6fd9907d388d64a70c398c46e9e40e1cc	10.58286858213989	44	{0: 9, 1: 127, 2: 10, 3: 4, 4: 28, 5: 58, 6: 34, 7: 4, 8: 21, 9: 42, 10: 40, 11: 46, 12: 77, 13: 24, 14: 6, 15: 12, 16: 60, 17: 23, 18: 21, 19: 39}
91fecd949ff121f9af79e588c56fa73a804b5f41e4f082fdb363353c32afd5fd	11.61351538880456	39	{0: 21, 1: 41, 2: 3, 3: 34, 4: 118, 5: 100, 6: 55, 7: 3, 8: 6, 9: 78, 10: 4, 11: 77, 12: 27, 13: 5, 14: 66, 15: 30, 16: 6, 17: 45, 18: 12, 19: 4}
c9eb43dc5c5a4ef361b098558759eb7d260d89e8249b6135e90caa850ec2f2ae	15.100338320896036	46	{0: 15, 1: 114, 2: 3, 3: 60, 4: 127, 5: 62, 6: 28, 7: 0, 8: 6, 9: 98, 10: 5, 11: 62, 12: 2, 13: 4, 14: 28, 15: 0, 16: 63, 17: 65, 18: 15, 19: 28}
d9e4ada10e356b23e66d885d1cdf2cb9ff030cb4e7982fa94736d638cd260f48	16.56397345351345	31	{0: 12, 1: 82, 2: 3, 3: 31, 4: 138, 5: 25, 6: 85, 7: 26, 8: 6, 9: 108, 10: 63, 11: 73, 12: 6, 13: 4, 14: 0, 15: 48, 16: 41, 17: 60, 18: 2, 19: 22}
ca6819853a8c69843ffed1d363abf104e5722da311fbc81124cb1ee825fad798	28.23160362880638	153	{0: 7, 1: 10, 2: 20, 3: 43, 4: 305, 5: 9, 6: 8, 7: 71, 8: 51, 9: 114, 10: 5, 11: 22, 12: 23, 13: 4, 14: 94, 15: 40, 16: 0, 17: 4, 18: 26, 19: 29}
467c0fc9ad39b8b8e22ea08a522648ffd43ff1f26e99b044a6d68e495641ce45	41.73911758256904	218	{0: 1, 1: 17, 2: 54, 3: 41, 4: 220, 5: 22, 6: 51, 7: 76, 8: 2, 9: 14, 10: 112, 11: 89, 12: 28, 13: 3, 14: 1, 15: 93, 16: 48, 17: 41, 18: 1, 19: 21}
8e67a13c57e67d595e47eace8f2273d76c09e58252f764ebd992e7ae23f803ee	63.69156820551659	344	{0: 131, 1: 40, 2: 76, 3: 99, 4: 64, 5: 28, 6: 30, 7: 22, 8: 44, 9: 24, 10: 10, 11: 97, 12: 25, 13: 66, 14: 11, 15: 9, 16: 84, 17: 91, 18: 2, 19: 32}
b26b108b0d282b2aa2b622d9d1e74250e6ff4952fc5a5723abdab6fae3273036	67.56809205991419	109	{0: 3, 1: 43, 2: 66, 3: 109, 4: 77, 5: 6, 6: 28, 7: 52, 8: 4, 9: 2, 10: 5, 11: 34, 12: 38, 13: 141, 14: 14, 15: 41, 16: 91, 17: 206, 18: 19, 19: 56}
b50cd40b53f428fed55d271b5c615acc58f827682df3658fab9e9468b7a9482c	99.32019988520541	465	{0: 64, 1: 43, 2: 39, 3: 247, 4: 26, 5: 5, 6: 5, 7: 7, 8: 14, 9: 0, 10: 21, 11: 110, 12: 29, 13: 29, 14: 52, 15: 165, 16: 122, 17: 5, 18: 62, 19: 40}
