Event type,Event start time,sender_node,receiver_node,current_node
TXN,0.0362534473055819,14,12,14
TXN,0.0662534473055819,14,12,0
TXN,0.0662534473055819,14,12,4
TXN,0.0962534473055819,14,12,8
TXN,0.1062534473055819,14,12,6
TXN,0.1262534473055819,14,12,3
TXN,0.13625344730558192,14,12,11
TXN,0.1762534473055819,14,12,19
TXN,0.17629252595959102,18,11,18
TXN,0.18207416612503857,4,14,4
TXN,0.1862534473055819,14,12,10
TXN,0.1962534473055819,14,12,1
TXN,0.20625344730558193,14,12,2
TXN,0.21625344730558188,14,12,2
TXN,0.22207416612503858,4,14,3
TXN,0.22207416612503858,4,14,14
TXN,0.2262534473055819,14,12,12
TXN,0.2262534473055819,14,12,10
TXN,0.2262534473055819,14,12,16
TXN,0.22625344730558192,14,12,18
TXN,0.22625344730558192,14,12,16
TXN,0.23207416612503856,4,14,6
TXN,0.2362534473055819,14,12,15
TXN,0.2362534473055819,14,12,11
TXN,0.24260310941173568,9,0,9
TXN,0.2462534473055819,14,12,9
TXN,0.2462534473055819,14,12,15
TXN,0.2520741661250386,4,14,0
TXN,0.25625344730558186,14,12,18
TXN,0.25625344730558186,14,12,16
TXN,0.256292525959591,18,11,10
TXN,0.2620741661250386,4,14,11
TXN,0.2662534473055819,14,12,1
TXN,0.2662534473055819,14,12,5
TXN,0.2662534473055819,14,12,16
TXN,0.2762534473055819,14,12,15
TXN,0.2762534473055819,14,12,19
TXN,0.28207416612503855,4,14,8
TXN,0.28207416612503855,4,14,11
TXN,0.2862534473055819,14,12,6
TXN,0.2962534473055819,14,12,13
TXN,0.3062534473055819,14,12,10
TXN,0.306292525959591,18,11,17
TXN,0.3162534473055819,14,12,13
TXN,0.3162534473055819,14,12,7
TXN,0.316292525959591,18,11,15
TXN,0.3226031094117357,9,0,13
TXN,0.3226031094117357,9,0,19
TXN,0.3262534473055819,14,12,17
TXN,0.3262534473055819,14,12,5
TXN,0.3262534473055819,14,12,13
TXN,0.33260310941173565,9,0,7
TXN,0.3362534473055819,14,12,9
TXN,0.3426031094117357,9,0,15
TXN,0.3462534473055819,14,12,15
TXN,0.34625344730558194,14,12,7
TXN,0.34625344730558194,14,12,7
TXN,0.35207416612503856,4,14,10
TXN,0.3520741661250386,4,14,19
TXN,0.35260310941173567,9,0,12
TXN,0.35625344730558184,14,12,17
TXN,0.3562534473055819,14,12,17
TXN,0.36207416612503857,4,14,2
TXN,0.3620741661250386,4,14,19
TXN,0.3662534473055819,14,12,7
TXN,0.3662534473055819,14,12,5
TXN,0.36629252595959105,18,11,9
TXN,0.3686210927579506,8,16,8
TXN,0.3720741661250386,4,14,10
TXN,0.3720741661250386,4,14,16
TXN,0.3762534473055819,14,12,9
TXN,0.3762534473055819,14,12,2
TXN,0.376292525959591,18,11,19
TXN,0.376292525959591,18,11,6
TXN,0.37629252595959106,18,11,15
TXN,0.3778867857742596,14,0,14
TXN,0.38035418228679424,2,13,2
TXN,0.38207416612503864,4,14,15
TXN,0.38207416612503864,4,14,15
TXN,0.3826031094117357,9,0,18
TXN,0.3862534473055819,14,12,17
TXN,0.3862534473055819,14,12,13
TXN,0.3862534473055819,14,12,12
TXN,0.386292525959591,18,11,7
TXN,0.3926031094117357,9,0,10
TXN,0.3962534473055819,14,12,7
TXN,0.39625344730558193,14,12,9
TXN,0.39625344730558193,14,12,17
TXN,0.40207416612503855,4,14,2
TXN,0.40207416612503855,4,14,1
TXN,0.4020741661250386,4,14,5
TXN,0.4062534473055819,14,12,2
TXN,0.40625344730558194,14,12,1
TXN,0.406292525959591,18,11,14
TXN,0.40788678577425963,14,0,0
TXN,0.41207416612503855,4,14,15
TXN,0.41207416612503855,4,14,18
TXN,0.41207416612503855,4,14,15
TXN,0.41207416612503855,4,14,18
TXN,0.41207416612503855,4,14,16
TXN,0.41207416612503855,4,14,16
TXN,0.41207416612503855,4,14,12
TXN,0.42207416612503856,4,14,16
TXN,0.42207416612503856,4,14,5
TXN,0.42207416612503856,4,14,8
TXN,0.4226031094117357,9,0,10
TXN,0.426292525959591,18,11,12
TXN,0.426292525959591,18,11,4
TXN,0.4278867857742596,14,0,4
TXN,0.4286210927579506,8,16,14
TXN,0.43035418228679423,2,13,16
TXN,0.43207416612503863,4,14,9
TXN,0.4362534473055819,14,12,16
TXN,0.4362534473055819,14,12,5
TXN,0.436292525959591,18,11,0
TXN,0.436292525959591,18,11,4
TXN,0.436292525959591,18,11,16
TXN,0.436292525959591,18,11,13
