Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	1.0
Slow Node
Low CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
315be79c86f4c213f2f34453fa3b44aa0fc961c4483271166869713951d23cb6	0	20	{0: 38, 1: 21, 2: 25, 3: 37, 4: 21, 5: 29, 6: 21, 7: 25, 8: 35, 9: 37, 10: 29, 11: 33, 12: 36, 13: 35, 14: 21, 15: 25, 16: 32, 17: 38, 18: 35, 19: 32}
745332608eeb0f95281e55bb880c6ea93473652e357b9be869802574cfb6d209	56.40871481099894	19	{0: 134, 1: 34, 2: 18, 3: 37, 4: 42, 5: 13, 6: 0, 7: 13, 8: 23, 9: 24, 10: 41, 11: 0, 12: 36, 13: 35, 14: 32, 15: 3, 16: 26, 17: 63, 18: 23, 19: 58}
76e014516c81a2f122e7ed11d5b8be5afabb176d2627b3e98072bc54a178fffc	57.403582519744155	763	{0: 17, 1: 111, 2: 28, 3: 10, 4: 37, 5: 27, 6: 37, 7: 27, 8: 24, 9: 68, 10: 63, 11: 5, 12: 20, 13: 11, 14: 67, 15: 34, 16: 3, 17: 31, 18: 32, 19: 3}
640239f02ae48cee413a46e93a9600dcaf897bc9aa2060c7aaedbf6e1f3cc06b	86.40457130525822	498	{0: 64, 1: 39, 2: 13, 3: 5, 4: 5, 5: 94, 6: 32, 7: 4, 8: 11, 9: 6, 10: 3, 11: 84, 12: 80, 13: 25, 14: 147, 15: 14, 16: 5, 17: 0, 18: 41, 19: 33}
e0861a380daf8336de1a1aa2f2d74e3186355199aabd03c2c5dc7b86a15e431d	242.7735193528345	1000	{0: 4, 1: 40, 2: 42, 3: 36, 4: 2, 5: 83, 6: 5, 7: 12, 8: 7, 9: 9, 10: 50, 11: 12, 12: 5, 13: 63, 14: 100, 15: 168, 16: 12, 17: 5, 18: 3, 19: 97}
63c034643fe15e2dd6d587c84d92c5dda0b8eb5f66f043a8ade361ed9e0c5aa7	321.5158908228777	1000	{0: 71, 1: 36, 2: 104, 3: 82, 4: 50, 5: 74, 6: 81, 7: 27, 8: 4, 9: 19, 10: 12, 11: 42, 12: 31, 13: 25, 14: 14, 15: 43, 16: 22, 17: 6, 18: 62, 19: 0}
2fdeeb8c89456272ee9d8b1b49d54d34875c6410b0c2d7b39275cbddee08b70b	331.32938724118156	1000	{0: 20, 1: 21, 2: 29, 3: 20, 4: 66, 5: 51, 6: 178, 7: 24, 8: 2, 9: 23, 10: 88, 11: 10, 12: 18, 13: 100, 14: 92, 15: 54, 16: 13, 17: 9, 18: 29, 19: 8}
1f421f1356beb2343e343afe7deebd817486be0c111e9a65eaf5acaca5bf9714	400.0039339960552	1000	{0: 6, 1: 147, 2: 3, 3: 26, 4: 66, 5: 38, 6: 131, 7: 101, 8: 0, 9: 16, 10: 28, 11: 57, 12: 50, 13: 21, 14: 2, 15: 42, 16: 19, 17: 61, 18: 40, 19: 51}
c8d1efaa9a03709f8c676803db10ba1ca15ee389d969066ff9842f4a8c18e56a	431.4961941662699	1000	{0: 12, 1: 84, 2: 8, 3: 38, 4: 61, 5: 43, 6: 66, 7: 1, 8: 12, 9: 70, 10: 1, 11: 25, 12: 72, 13: 3, 14: 134, 15: 154, 16: 41, 17: 2, 18: 50, 19: 78}
d7b39d76dd0eba683eb08f34cb8b2cc42e533c9efe786f6f6d73e7230bbf41fe	439.91030720682295	803	{0: 62, 1: 11, 2: 89, 3: 12, 4: 0, 5: 44, 6: 191, 7: 63, 8: 34, 9: 9, 10: 22, 11: 38, 12: 89, 13: 25, 14: 217, 15: 4, 16: 5, 17: 24, 18: 15, 19: 51}
