Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	1.0
Slow Node
High CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
5a211b1653b37e134139225f5f90f8e58d9cccfe8ebb610bfdf930b0db978573	0	20	{0: 26, 1: 23, 2: 20, 3: 39, 4: 29, 5: 39, 6: 22, 7: 36, 8: 25, 9: 32, 10: 33, 11: 20, 12: 21, 13: 31, 14: 20, 15: 27, 16: 28, 17: 38, 18: 21, 19: 26}
8f802a83d0b0bff247679c0f8e85b237189781402df4f983db8be1c0f6e1073d	22.662306336265836	50	{0: 32, 1: 50, 2: 19, 3: 6, 4: 11, 5: 33, 6: 5, 7: 31, 8: 54, 9: 39, 10: 0, 11: 8, 12: 85, 13: 20, 14: 54, 15: 25, 16: 15, 17: 31, 18: 4, 19: 84}
f365aa7454739f97aafd4e2f2382a588e5d456ad65e47f8fd9ea0d2f1fe2d529	22.888832132743815	185	{0: 11, 1: 59, 2: 22, 3: 2, 4: 14, 5: 11, 6: 25, 7: 58, 8: 8, 9: 2, 10: 7, 11: 108, 12: 12, 13: 53, 14: 49, 15: 13, 16: 30, 17: 1, 18: 113, 19: 8}
5783cec78b24a8002c08081ad8d56a3da1e294163936e45f82f34b4fe18aa4c2	23.271562059107207	304	{0: 32, 1: 12, 2: 13, 3: 24, 4: 11, 5: 1, 6: 23, 7: 73, 8: 16, 9: 4, 10: 21, 11: 96, 12: 6, 13: 12, 14: 51, 15: 33, 16: 11, 17: 53, 18: 103, 19: 11}
099ff57e9592fb5efcb973485c1646fc7d21a9faaa985cdf62e0f8f2e47adaf3	31.23566143836463	136	{0: 32, 1: 25, 2: 6, 3: 19, 4: 0, 5: 41, 6: 56, 7: 15, 8: 70, 9: 70, 10: 73, 11: 38, 12: 8, 13: 19, 14: 27, 15: 36, 16: 28, 17: 8, 18: 14, 19: 71}
9dbce0907defa16ab0b49ac53a77c63f40ecd51333c407cb7e360253d6422edb	42.722866805898434	246	{0: 51, 1: 60, 2: 51, 3: 56, 4: 3, 5: 19, 6: 2, 7: 54, 8: 30, 9: 34, 10: 29, 11: 16, 12: 13, 13: 8, 14: 160, 15: 9, 16: 21, 17: 28, 18: 31, 19: 31}
64e1cfc8c8a3f2eec0a54684748abad517e98d6128b30e79a8906afd5144afd8	45.19600033006616	69	{0: 162, 1: 26, 2: 25, 3: 10, 4: 12, 5: 7, 6: 4, 7: 56, 8: 22, 9: 12, 10: 3, 11: 19, 12: 93, 13: 33, 14: 246, 15: 2, 16: 4, 17: 5, 18: 8, 19: 7}
f3770ed49d42424a2901d71021a4b8361e4ec07baed4fb55b8034977e7a15ea6	372.4498541625609	1000	{0: 75, 1: 14, 2: 7, 3: 7, 4: 24, 5: 26, 6: 35, 7: 37, 8: 0, 9: 20, 10: 9, 11: 42, 12: 18, 13: 33, 14: 280, 15: 35, 16: 70, 17: 18, 18: 8, 19: 48}
98ca113bb9ba149e1c02228be60ffd2a9dfe60589ab083e708d756b04ba10012	374.78647935962346	57	{0: 147, 1: 88, 2: 7, 3: 43, 4: 0, 5: 12, 6: 2, 7: 12, 8: 25, 9: 10, 10: 3, 11: 27, 12: 76, 13: 2, 14: 295, 15: 22, 16: 1, 17: 31, 18: 3, 19: 0}
1fa6a788fd653e63296c105c17390cee4d3233edbce4479d00d367c2cdab0706	393.8040332454443	1000	{0: 2, 1: 29, 2: 9, 3: 35, 4: 43, 5: 2, 6: 49, 7: 27, 8: 33, 9: 27, 10: 13, 11: 29, 12: 109, 13: 11, 14: 305, 15: 1, 16: 53, 17: 13, 18: 1, 19: 65}
052df44b3f1ec3b6bc882e6f0d7d76b0d59718d24dbae01aac219c780eb34d72	393.9389216638435	767	{0: 8, 1: 140, 2: 31, 3: 12, 4: 10, 5: 46, 6: 10, 7: 2, 8: 54, 9: 6, 10: 71, 11: 73, 12: 25, 13: 22, 14: 131, 15: 36, 16: 19, 17: 85, 18: 14, 19: 11}
8f25f90d8540279ae59b9abfc13b4ddb6f41e32437f083e2767a42d3eb7acf21	394.30353241325906	1000	{0: 11, 1: 58, 2: 51, 3: 33, 4: 11, 5: 35, 6: 25, 7: 4, 8: 21, 9: 30, 10: 6, 11: 44, 12: 120, 13: 14, 14: 210, 15: 29, 16: 17, 17: 31, 18: 47, 19: 9}
